POCET	KOD	UDALOST
18627	707	Sdělení pro vyvěšení na ÚD+EÚD
18153	1036	Zpráva pro oddlužení
18058	237	Vrácení spisu soudu I. stupně
18024	1004	Usnesení o zamítnutí návrhu na změnu věřitele
17727	97	Usnesení o nepatrném konkursu
17705	128	Usnesení o ukončení účasti věřitele v insolvenčním řízení
17479	201	Výzva na zprávu dlužníka o plnění oddlužení
17230	829	Výpis z katastru nemovitostí
16956	50	Zpráva o průběhu zpeněžení
16791	635	Usnesení o dodatečném zjištění popřené pohledávky
16521	425	Odvolání jiné
16502	437	Předvolání ke slyšení
16402	176	Usnesení o neschválení oddlužení
16359	443	Příloha k protokolu o jednání
16213	347	Návrh na vydání souhlasu se zpeněžením MP mimo dražbu
15924	174	Usnesení o schválení oddlužení zpeněžením majetkové podstaty
15201	375	Rozhodnutí o odvolání - zrušeno a vráceno
15094	366	Zaplacení SOP
15041	687	Přílohy
14902	1037	Zpráva o přezkumu
14630	1024	Výzva zahraničním věřitelům dle § 430 IZ
14424	108	Usnesení o odvolání správce z funkce
14288	53	Zpráva dlužníka o změně údajů dle § 412 odst. 1 písm. c)
14138	572	Usnesení o nepřipuštění změny v osobě věřitele
14126	488	Vyúčtování odměny a výdajů správce
14011	585	Předvolání k jednání
13641	61	Jiné podání
13485	583	Žádost o prodloužení lhůty
13301	592	Usnesení o část. nepřihlížení a odmítnutí přihlášky
12897	448	Sdělení o osobě jednající jménem člena/náhradníka v.o.
12897	27	Žaloba
12717	569	Protokol ze zvláštního přezkumného jednání
12597	595	Usnesení o nepřihlížení a odmítnutí přihlášky
12356	8	Návrh
12116	580	Záznam o vydání
12116	54	Znalecký posudek
12069	529	Zpětvzetí návrhu
11966	636	Znepřístupnění údajů o dlužníkovi dle § 425 IZ
11797	192	Výzva na doplnění příloh insolvenčního návrhu
11673	490	Vzdání se práva odvolání
11431	125	Usnesení o tom, že se k přihlášce nepřihlíží
11353	1039	Záznam o jednání s dlužníkem
11311	212	Protokol
11155	552	Usnesení o změně rozhodnutí soudu I.stupně (bez změny stavu)
11049	338	Návrh rozvrhového usnesení
10946	428	Oznámení soudu
10810	966	Omluva na jednání
10732	348	Omluva
10470	618	Záznam o složení
10362	498	Zpětvzetí popření pohledávky insolvenčním správcem
10175	573	Usnesení o vrácení zálohy na insolvenční řízení
10088	145	Usnesení o prodloužení lhůty ke splnění povinností
9998	350	Zpráva IS po zrušení konkursu
9973	470	Usnesení o vyplacení zálohy na odměnu správce
9785	454	Soupis majetkové podstaty - doplnění
9609	555	Usnesení o změně insolvenčního správce
9586	1038	Usnesení o zprávě o přezkumu
9321	594	Usnesení o část. ukončení účasti věřitele v insol. řízení
9242	1046	Zpráva IS o splnění oddlužení
9157	242	Výzva na doplnění odvolání
9087	755	Usnesení - výzva, aby se účastník vyjádřil k žalobě
8902	434	Předvolání k výslechu
8891	227	Opatření
8427	172	Usnesení o povolení oddlužení
8410	377	Rozhodnutí o odvolání - odmítnuto
8388	567	Odvolání jednání
8337	867	Žádost o odročení jednání
8316	927	Vyjádření k žalobě
8177	444	Přistoupení k řízení (§ 107 IZ)
8052	413	Přihláška - návrh na vstup nového věřitele
7847	149	Usnesení o konečné zprávě
7579	349	Zpráva IS o splnění rozvrhového usnesení
7501	725	Usn. o výzvě k zaplacení SOP/doplatku SOP
7491	205	Souhlas
7410	62	Hlasovací lístek
7355	436	Převedení spisu příslušnému soudu
7309	146	Usnesení o povolení výjimky ze zákazu nabývání majetku z majetkové podstaty
7075	600	Úřad práce - uspokojení mzdových nároků
6978	723	Usn. o povinnosti zaplatit SOP
6917	483	Vyhláška o jednání o konečné zprávě
6736	438	Převzetí spisu z jiného soudu
6696	1027	Smlouva
6574	122	Usnesení o uložení pořádkové pokuty
6260	231	Odvolání - doplnění
6151	449	Seznam přihlášených pohledávek - změna
6033	553	Usnesení o zrušení rozhodnutí soudu I.stupně (bez změny stavu)
5862	854	Zpětvzetí
5736	405	Změna senátu věci
5568	193	Výzva na předložení seznamů k insolvenčnímu návrhu
5519	706	Sdělení o pohledávce
5452	381	Zaslání rozhodnutí odvolacího soudu a vrácení spisu
5424	608	Konečná zpráva  - doplnění
5389	556	Reklamace doručenky
5344	344	Návrh na zrušení konkurzu
5231	387	Žádost o zapůjčení spisu
5043	43	Vyjádření navrhovatele
4948	12	Návrh na vynětí majetku z majetkové podstaty
4848	420	Návrh na uspokojení pohledávky za podstatou
4785	471	Usnesení o zamítnutí návrhu na předběžné opatření
4691	376	Rozhodnutí o odvolání - zastavení řízení
4674	617	Zaslání rozhodnutí s doložkou právní moci
4672	619	Usnesení o zrušení oddlužení z důvodu úmrtí dlužníka
4663	571	Předložení přihlášky VS
4637	727	Usnesení - jiné
4561	20	Návrh na zrušení schváleného oddlužení
4555	1002	Usnesení o zastavení řízení vůči zemřelému dlužníkovi
4518	58	Výpis z obchodního rejstříku
4516	634	Usnesení o vyloučení věci k samostatnému řízení
4456	1032	Pokyn zajištěného věřitele
4439	839	Výzva k odstranění vad podání
4408	24	Námitky
4225	423	Návrh na zproštění správce z funkce
4031	968	OP - odvolání do rozhodnutí
3957	833	Vyrozumění o odročení nebo odvolání jednání
3923	370	Právní moc konečného rozhodnutí
3784	751	Usnesení - výzva k vyjádření
3781	1025	Pohledávka za majetkovou podstatou
3752	117	Usnesení o jmenování členů a náhradníků věřitelského výboru
3655	542	Usnesení o odmítnutí žaloby
3581	429	Oznámení o změně konání jednání
3564	106	Usnesení o potvrzení správce zvoleného schůzí věřitelů
3520	878	Usnesení - výzva, zda účastník souhlasí s rozhodnutím bez jednání
3516	359	Vstup státního zastupitelství do řízení
3515	497	Zkrácené znění usnesení
3334	930	Opatření o příkázání věci jinému soudci
3262	85	Usnesení o vydání předběžného opatření
3084	784	Usnesení o spojení věcí ke společnému projednání
3082	115	Usnesení o potvrzení volby členů a náhradníků věřitelského orgánu
2970	691	Přípis žalobci/zástupci žalobce
2958	1044	Žádost dlužníka
2889	679	Předvolání zástupce účastníka k 1. jednání
2798	9	Návrh na předběžné opatření
2775	485	Výpis z evidence ARES
2736	675	Předvolání účastníka k 1. jednání
2701	421	Návrh na uspokojení zajištěného věřitele
2547	664	Předkládací zpráva
2534	441	Přihláška pohledávky - doplnění, oprava
2514	1005	Usnesení o odmítnutí odvolání pro opožděnost
2384	610	Usnesení o ustanovení odděleného správce
2357	390	Předložení věci Nejvyššímu soudu
2287	888	VS - Rozsudek - potvrzeno
2265	234	Zapůjčení spisu
2262	478	Usnesení o zrušení rozhodnutí soudu I.stupně
2209	865	Žádost o vyznačení doložky PM
2195	103	Usnesení o zastavení řízení o žalobě
2194	973	Oznámení o ukončení zastupování
2183	892	VS - Usnesení - potvrzeno
2177	337	List vlastnictví
2147	647	Doplnění žaloby/návrhu
2115	840	Výzva k vyzvednutí směnky
2037	777	Usnesení o přerušení řízení
2001	540	Usnesení o nařízení prohlídky prostor
1985	236	Záznam o nahlížení do spisu
1964	1053	Vyhláška o zprávě o přezkumu a zprávě pro oddlužení
1962	577	Vrácení přihlášky soudu I.stupně
1953	538	Soupis majetkové podstaty - změna
1941	843	Zaplacení Sop převodem
1940	477	Usnesení o změně rozhodnutí soudu I.stupně
1902	633	Popření pohledávky přihlášeným věřitelem
1878	25	Námitky proti konečné zprávě
1857	756	Usnesení - zamítnutí návrhu
1853	1007	Seznam majetku a závazků
1745	407	Dovolání
1714	692	Přípis žalovanému/zástupci žalovaného
1711	955	Doplnění odvolání
1688	475	Usnesení o zastavení řízení vůči učastníku (§ 130 odst. 2 IZ)
1671	360	Výstupu státního zastupitelství z řízení
1661	512	Rozhodnutí NS o dovolání - odmítnutí
1655	487	Vyřízeno jiným způsobem
1626	637	Souhlas soudu se žádostí o vyškrtnutí dlužníka ze seznamu dlužníků
1624	613	Usnesení o ustanovení opatrovníka pro insolvenční řízení
1597	243	Výzva k vyjádření se k odvolání
1595	393	Přípis - bez věcného vyřízení
1592	463	Usnesení o odmítnutí návrhu na předběžné opatření
1592	148	Usnesení o povolení částečného rozvrhu
1588	956	Odpověď na výzvu
1546	1026	Sdělení účtárny
1529	414	Návrh dlužníka
1510	141	Usnesení o schválení dohody o vypořádání SJM
1460	672	Předvolání svědka
1446	342	Návrh na vydání opravného usnesení
1440	138	Usnesení o skončení provozu dlužníkova podniku
1435	44	Dotaz na stav řízení
1433	765	Evidenční karta diktafonového záznamu
1419	139	Usnesení o pokračování v přerušeném řízení
1415	782	Usnesení o schválení smíru
1374	894	VS - Usnesení - zrušeno a vráceno
1370	684	Předvolání žalovaného k 1. jednání
1366	88	Usnesení o ustanovení předběžného správce
1351	1033	Usnesení o pokynu zajištěného věřitele
1325	959	Odročeno s rezervací
1321	841	Výzva pro vyvěšení na ÚD+EÚD
1310	1028	Smlouva o prodeji mimo dražbu
1285	476	Usnesení o změně v osobě znalce
1275	591	Rozhodnutí z incidenčního sporu
1252	564	Odpověď na reklamaci doručenky
1222	750	Usnesení - výzva k předložení listin
1205	597	Směnka
1197	465	Usnesení o prominutí pořádkové pokuty
1187	404	Převzetí věci Nejvyšším soudem
1174	893	VS - Usnesení - změna
1158	815	Usnesení s výzvou k odstranění vad odvolání
1158	378	Rozhodnutí o odvolání - jinak
1151	889	VS - Rozsudek - změna
1144	109	Usnesení o zproštění funkce správce pro porušení povinností
1142	764	Usnesení o částečném zpětvzetí
1139	607	Vyřízení reklamace
1133	1006	Usnesení o vrácení SOP/přeplatku SOP
1116	752	Usnesení - výzva vyjádřit se k odvolání/dovolání
1088	362	Usnesení o ustanovení tlumočníka
1086	702	Rozsudek pro uznání
1076	232	Odvolání - zpětvzetí odvolání
1071	612	Zpětvzetí popření pohledávky dlužníkem
1067	171	Usnesení o zamítnutí návrhu na povolení oddlužení
1047	18	Návrh na povolení oddlužení
1034	383	Rozhodnutí o tom, zda je soudce vyloučen
1031	1008	Vyúčtování nákladů
1030	716	Urgence
1024	335	Dražební vyhláška
1023	868	Žádost o osvobození od zaplacení Sop
983	682	Předvolání zástupce žalovaného k 1. jednání
965	758	Usnesení - zastavení řízení
962	680	Předvolání zástupce účastníka k dalšímu jednání
946	233	Vrácení spisu
942	432	Protokol z jednání věřitelského výboru
914	609	Dotaz na CEO
897	661	Protokol o veřejném vyhlášení rozsudku
888	1030	Doplnění žádosti
878	831	Výpis z živnostenského rejstříku
876	79	Usnesení o způsobu řešení úpadku konkursem dle usnesení schůze věřitelů
874	461	Usnesení o odměně a hotových výdajích tlumočníka
871	415	Návrh na odvolání správce
866	749	Usnesení - o prodloužení lhůty
861	965	Doplnění podání žalobce/navrhovatele
857	744	Usnesení - o zamítnutí žádosti o osvobození od Sop
817	45	Stížnost
813	217	Protokol o prohlášení o majetku
787	173	Usnesení o způsobu oddlužení dle § 402 odst. 5
756	576	Vrácení přihlášky
752	676	Předvolání účastníka k dalšímu jednání
745	389	Protokol o vyhlášení rozhodnutí
741	776	Usnesení o procesním nástupnictví § 107 o.s.ř.
736	1031	Výzva k podání žaloby na určení pořadí uplatněné pohledávky ( § 203a IZ)
733	958	Odročeno na neurčito
709	411	Námitka podjatosti
701	46	Stížnost dlužníka
698	511	Rozhodnutí NS o dovolání - zastavení řízení
696	773	Usnesení o pokračování v přerušeném řízení
680	989	Poučení o procesních právech a povinnostech účastníka
660	763	Usnesení o částečném zastavení řízení
653	726	Usnesení o výzvě k doplnění tvrzení
648	340	Návrh na svolání schůze věřitelů
647	601	Výzva na doplnění dovolání
643	772	Usnesení o odmítnutí odvolání
638	456	Usnesení o uspokojení pohledávky za podstatou
628	623	Oddělení spojené věci po PM
617	957	Odpověď na žádost
612	646	Částečné zpětvzetí
610	588	Zpětvzetí
610	158	Usnesení o schválení reorganizačního plánu
599	799	Usnesení o zamítnutí návrhu
597	602	Usnesení o odmítnutí jednoho z insolvenčních návrhů
593	336	Protokol o vydražení
592	91	Usnesení o ustanovení znalce
592	1000	Usnesení o zastavení odvolacího řízení
572	812	Usnesení o zrušení usn. pro nezaplacení Sop
571	622	Oddělení spojené věci
567	952	Odeslání spisu - v S.O.
562	341	Návrh částečného rozvrhového usnesení
557	724	Usn. o vrácení SOP/přeplatku SOP
557	123	Usnesení o předvolání k výslechu
550	402	Zaslání rozhodnutí dovolacího soudu a vrácení spisu
543	238	Mylný zápis
525	119	Usnesení o odvolání z funkce člena nebo náhradníka věřitelského výboru
523	1050	Usnesení o zrušení schváleného oddlužení a zastavení řízení
515	845	Zaplacení Sop v kolcích
514	531	Protokol o prohlídce prostor
512	578	Výzva likvidátorovi
509	1034	Usnesení o zamítnutí návrhu na osvobození od placení pohledávek
490	896	VS - Usnesení - odvolací řízení zastaveno
490	792	Usnesení o ustanovení zástupce
488	99	Usnesení o povolení reorganizace
488	59	Reorganizační plán
484	969	Opětovné doručení
484	747	Usnesení - o změně rozhodnutí
482	104	Usnesení o smíru
469	850	Záznam
468	629	Rozhodnutí o odvolání - zrušeno a zastaveno
465	631	Záznam o složení jistoty
459	880	Výpis z CEO
458	795	Usnesení o vyloučení věci k samostatnému projednání
457	895	VS - Usnesení - jinak
451	458	Usnesení o nařízení předběžného opatření bez návrhu
444	824	Vrácení spisu - z S.O.
441	74	Usnesení o neúčinnosti zpětvzetí insolvenčního návrhu
435	513	Rozhodnutí NS o dovolání - zamítnutí
426	598	Návrh na určení lhůty
421	417	Návrh na pokračování v řízení
420	976	Doplnění podání žalovaného/odpůrce
420	917	NS – Rozhodnutí NS o dovolání – odmítnutí
411	970	Opravné usnesení vedlejší
393	77	Usnesení o úpadku spojené s povolením reorganizace
390	848	OP - Dovolání
386	566	Odvolání do předběžného opatření
384	611	Usnesení o zproštění odděleného správce
378	408	Dovolání - doplnění dovolání
376	541	Rozhodnutí jiného soudu
374	906	VS - Usnesení o příslušnosti
371	722	Usn. o osvobození od SOP v plném rozsahu
371	163	Usnesení o přeměně reorganizace v konkurs
368	474	Usnesení o zastavení řízení o předběžném opatření
365	627	Převzetí vyžádaného spisu
359	560	Rozhodnutí o důvodnosti postoupení
358	1054	Zpráva insolvenčního správce
357	391	Rozhodnutí VS/NS o určení příslušnosti
355	363	Vyúčtování odměny znalce nebo tlumočníka
351	760	Usnesení - zrušení rozhodnutí
345	624	Rozhodnutí soudu o určení procesní lhůty
343	169	Usnesení o vzetí na vědomí zpětvzetí návrhu na povolení oddlužení
339	630	Usnesení o schválení zprávy o reorganizačním plánu
338	790	Usnesení o ustanovení opatrovníka
337	832	Výpis/opis z rejstříku trestů
336	446	Referát pro judikaturu
335	26	Námitky proti povolení oddlužení dle § 403 odst. 2
332	333	Dohoda o vypořádání SJM
320	147	Usnesení o pořadí úhrady pohledávky
319	941	Návrh na přerušení řízení
310	781	Usnesení o přiznání znalečného
308	628	Zaslání rozhodnutí dovolacího soudu
308	616	Návrh na ustanovení předběžného správce
308	13	Návrh na povolení reorganizace
307	47	Stížnost věřitele
305	570	Předložení přihlášky NS
301	814	Usnesení o zrušení usnesení soudu I.stupně
300	897	VS - Usnesení - odvolání odmítnuto
296	802	Usnesení o zastavení řízení o odvolání
291	1029	Usnesení o odmítnutí dovolání
290	1018	Vyhláška o zahájení insolvenčního řízení dalšího dlužníka
285	984	Pokus o smír
285	406	Doručení do ciziny
281	545	Vyhláška o výzvě k podávání přihlášek pohledávek
281	51	Zpráva o plnění reorganizačního plánu
279	734	Usnesení - o nevyhovění
278	855	Zpětvzetí jiné
274	990	Poučení účastníka o právu vyjádřit se k osobám soudců
271	92	Usnesení o schválení odměny znalce
270	857	Zpětvzetí odvolání
268	440	Přihláška pohledávky - částečné zpětvzetí
266	559	Usnesení o odmítnutí návrhu na moratorium - po insolvenčním návrhu
265	847	Zaslání odvolání
264	1001	Návrh na prohlášení konkursu
262	167	Usnesení o odmítnutí návrhu na povolení oddlužení pro vady
256	60	Reorganizační plán - zpráva
255	761	Usnesení dle § 114b o.s.ř.
250	801	Usnesení o zastavení řízení - dílčí
250	197	Výzva k opravě nebo doplnění návrhu na povolení reorganizace
248	98	Usnesení o zrušení rozhodnutí o nepatrném konkursu
248	953	Odpověď na dotaz
248	742	Dovolání - jiné
248	546	Návrh na moratorium k insolvenčnímu návrhu
246	168	Usnesení o odmítnutí návrhu na povolení oddlužení pro opožděnost nebo neoprávněnost
245	579	Zapůjčení přihlášky
242	164	Usnesení o vzetí na vědomí splnění reorganizačního plánu
241	156	Usnesení o zamítnutí návrhu na povolení reorganizace
239	886	Vrácení směnky
236	689	Doplňující usnesení
231	442	Přihláška pohledávky - zpětvzetí
231	33	Sdělení banky
226	83	Usnesení o zamítnutí insolvenčního návrhu pro nedostatek majetku dlužníka
223	638	Žaloba pro zmatečnost
221	999	Usnesení o zastavení dovolacího řízení
216	902	VS - Vrácení spisu soudu I. stupně
215	794	Usnesení o vrácení jistoty
212	486	Vyrozumění o soupisu majetkové podstaty
212	462	Usnesení o odmítnutí konečné zprávy
202	87	Usnesení o zastavení řízení pro nezaplacení zálohy na náklady řízení
193	7	Insolvenční návrh spojený s návrhem na povolení reorganizace
189	992	Poukaz účtárně k vrácení Sop
186	435	Předvedení k soudu
185	658	Doplňková informace žalobce/navrhovatele
184	358	Sdělení o vstupu KSZ do řízení
181	780	Usnesení o přiznání tlumočného
180	1009	Zpětvzetí popření pohledávky věřitelem
175	1040	Usnesení o uložení pokuty podle insolvenčního zákona
171	403	Rozhodnutí o místní příslušnosti (§ 11 odst. 3 OSŘ)
169	135	Usnesení o neúčinnosti právního úkonu
167	1049	Usnesení o neschválení oddlužení a zastavení řízení
163	961	Odvolání jednání s rezervací
161	213	Protokol o prohlášení o postoupení pohledávky
152	942	Návrh na přistoupení dalšího účastníka do řízení
152	898	VS - Vrácení bez věcného vyřízení
152	514	Rozhodnutí NS o dovolání - zrušení a vrácení odvolacímu soudu
151	769	Usnesení o nákladech řízení
148	779	Usnesení o přiznání odměny opatrovníkovi
147	384	Rozhodnutí o delegaci
147	121	Usnesení o odvolání věřitelského výboru
145	339	Návrh na schválení dohody o vypořádání SJM
143	547	Usnesení o vyhlášení moratoria - po insolvenčním návrhu
141	96	Usnesení o schválení zprávy správce po úmrtí dlužníka
141	762	Usnesení o částečném odmítnutí žaloby
140	701	Rozhodnutí předsedy soudu
140	539	Usnesení o svolání věřitelského výboru
139	988	Poučení o námitce podjatosti
135	787	Usnesení o uložení pokuty
134	947	Návrh na vydání předběžného opatření
134	800	Usnesení o zamítnutí přerušení řízení
134	536	Usnesení o zpěněžení podniku
132	786	Usnesení o určení svědečného
131	615	Pokyn účtárně k vymáhání
130	730	Usnesení - o nepřipuštění vstupu nového účastníka
129	1045	Žádost o vyškrtnutí dlužníka ze seznamu dlužníků
128	703	Rozsudek pro zmeškání
128	331	Náhradní doručení
126	826	Vstup státního zástupce
125	748	Usnesení - o odmítnutí podání
125	457	Usnesení o doplnění/změně konečné zprávy
123	985	Potvrzení o osobních a majetkových poměrech-k předání účastníkovi
123	416	Návrh na odvolání z funkce ve v.v.
120	203	Výzva na podání žaloby dle § 100 odst. 2
118	963	Odvolání plné moci
117	667	Doplňková informace žalovaného/odpůrce
116	900	VS - Převzetí odvolání nadřízeným soudem
115	86	Usnesení o zrušení předběžného opatření
114	741	Usnesení - o připuštění změny návrhu
113	418	Návrh na rozhodnutí o hlasovacím právu
112	708	Sdělení vymáhajícího úředníka
112	1041	Usnesení o odmítnutí/zastavení námitek
111	32	Sdělení finančního úřadu
111	31	Sdělení známého věřitele o pohledávce
111	1003	Výpis z CEO
110	688	Přílohy spisu
110	674	Předvolání účastníka k přípravnému jednání
109	918	NS – Rozhodnutí NS o dovolání – zamítnutí
108	678	Doplňující rozsudek
108	515	Rozhodnutí NS o dovolání - zrušení a vrácení soudu 1. stupně
106	495	Záznam o složení zálohy
105	944	Doplnění částečného zpětvzetí
104	685	Převedení jinému soudu
101	791	Usnesení o přibrání tlumočníka
101	517	Rozhodnutí NS o dovolání - jinak
101	120	Usnesení o změně věřitelského orgánu v souvislosti s postupem pohledávky
100	84	Usnesení o tom, že dlužník není v úpadku
100	813	Usnesení o zrušení usnesení a zastavení řízení
100	721	Usn. o osvob. od SOP v plném rozsahu a ustan.zástupce
95	241	Výzva
94	90	Usnesení o hotových výdajích a odměně předběžného správce
94	671	Předvolání stát.zastupitelství k jednání nebo provedení důkazu
94	648	PO-usnesení o nařízení předběžného opatření
93	657	Prodloužená lhůta k napsání rozhodnutí
92	739	Usnesení - o připuštění dalšího účastníka do řízení
92	153	Usnesení o odmítnutí návrhu na povolení reorganizace pro vady
90	862	Žádost na katastrální úřad
89	919	NS – Rozhodnutí NS o dovolání – zastavení řízení
87	876	Žádost/návrh na vydání opravného usnesení
86	920	NS – Rozhodnutí NS o dovolání – zrušení a vrácení odvolacímu soudu
86	879	Urgence vrácení zapůjčeného spisu
86	37	Sdělení Katastru nemovitostí
82	729	Usnesení - o nepřipuštění vedlejšího účastníka
82	67	Usnesení o vyhlášení moratoria
81	938	Návrh dle § 107a o.s.ř.
81	853	Záznam z účtárny o vrácení
81	683	Předvolání znalce
81	614	Usnesení o ustanovení opatrovníka pro doručování
81	353	Záznam o složení peněz do soudní úschovy
80	866	Žádost o doručení
80	775	Usnesení o procesním nástupnictví § 107a o.s.ř.
80	107	Usnesení o nepotvrzení správce zvoleného schůzí věřitelů
78	424	Návrh veřitelského výboru
78	154	Usnesení o vzetí na vědomí zpětvzetí návrhu na povolení reorganizace
77	907	VS - Usnesení o tom, zda je soudce vyloučen
77	789	Usnesení o ustanovení advokáta opatrovníkem
77	1042	Usnesení o potvrzení/změně/vyhovění námitkám
76	670	Předvolání osoby/statut.orgán práv.osoby
75	73	Usnesení o zastavení řízení pro zpětvzetí insolvenčního návrhu
75	179	Usnesení o odejmutí osvobození od placení dosud neuspokojených pohledávek
74	118	Usnesení o odměně a náhradě nutných výdajů likvidátora
72	743	Usnesení - o vyhovění
72	371	Informační zpráva
71	903	VS - Protokol o hlasování
71	885	Žádost o sdělení čísla účtu
68	161	Usnesení o zamítnutí reorganizačního plánu
66	719	Usn. o částečném osvobození od SOP
66	10	Návrh na moratorium
65	987	Doplnění zpětvzetí
65	113	Usnesení o zrušení usnesení schůze věřitelů
64	805	Usnesení o zproštění funkce opatrovníka
64	652	PO-usnesení o zamítnutí
63	489	Výzva k odstranění odlišnosti návrhů
62	943	Návrh na spojení věcí
62	768	Usnesení o neustanovení zástupce
